"","from","to","freq"
"1","BT01","BT01",370
"2","BT01","BT03",134
"3","BT01","BT04",56
"4","BT01","BT05",250
"5","BT01","CBD03",137
"6","BT01","CBD04",31
"7","BT01","CBD05",151
"8","BT01","CBD06",442
"9","BT01","CBD07",67
"10","BT01","CBD13",565
"11","BT01","CD01",3
"12","BT01","CH01",59
"13","BT01","CH02",15
"14","BT01","CH03",16
"15","BT01","CH05",15
"16","BT01","CH06",5
"17","BT01","CH07",12
"18","BT01","CH08",22
"19","BT01","CH09",28
"20","BT01","CH12",37
"21","BT01","CH15",4
"22","BT01","DPD01",137
"23","BT01","EL01",220
"24","BT01","EL03",48
"25","BT01","EL05",23
"26","BT01","FH01",14
"27","BT01","FH04",2
"28","BT01","ID04",82
"29","BT01","PS04",137
"30","BT01","PS05",219
"31","BT01","SLU01",257
"32","BT01","SLU02",121
"33","BT01","SLU04",125
"34","BT01","SLU07",260
"35","BT01","SLU15",270
"36","BT01","SLU16",111
"37","BT01","SLU17",115
"38","BT01","SLU18",102
"39","BT01","SLU19",131
"40","BT01","SLU20",40
"41","BT01","SLU21",4
"42","BT01","UD01",8
"43","BT01","UD02",6
"44","BT01","UD04",16
"45","BT01","UD07",5
"46","BT01","UW01",3
"47","BT01","UW02",1
"48","BT01","UW04",13
"49","BT01","UW06",2
"50","BT01","UW07",2
"51","BT01","UW10",4
"52","BT01","WF01",504
"53","BT01","WF04",484
"54","BT03","BT01",175
"55","BT03","BT03",169
"56","BT03","BT04",44
"57","BT03","BT05",135
"58","BT03","CBD03",147
"59","BT03","CBD04",18
"60","BT03","CBD05",194
"61","BT03","CBD06",267
"62","BT03","CBD07",40
"63","BT03","CBD13",506
"64","BT03","CD01",1
"65","BT03","CH01",10
"66","BT03","CH02",7
"67","BT03","CH03",4
"68","BT03","CH05",4
"69","BT03","CH06",3
"70","BT03","CH07",12
"71","BT03","CH08",9
"72","BT03","CH09",22
"73","BT03","CH12",34
"74","BT03","CH15",1
"75","BT03","DPD01",263
"76","BT03","DPD03",4
"77","BT03","EL01",15
"78","BT03","EL03",29
"79","BT03","EL05",19
"80","BT03","FH01",7
"81","BT03","FH04",7
"82","BT03","ID04",35
"83","BT03","PS04",182
"84","BT03","PS05",110
"85","BT03","SLU01",75
"86","BT03","SLU02",42
"87","BT03","SLU04",423
"88","BT03","SLU07",137
"89","BT03","SLU15",305
"90","BT03","SLU16",77
"91","BT03","SLU17",60
"92","BT03","SLU18",37
"93","BT03","SLU19",226
"94","BT03","SLU20",20
"95","BT03","UD01",45
"96","BT03","UD02",2
"97","BT03","UD04",8
"98","BT03","UD07",2
"99","BT03","UW04",11
"100","BT03","UW07",1
"101","BT03","WF01",160
"102","BT03","WF04",95
"103","BT04","BT01",95
"104","BT04","BT03",67
"105","BT04","BT04",89
"106","BT04","BT05",47
"107","BT04","CBD03",49
"108","BT04","CBD04",10
"109","BT04","CBD05",156
"110","BT04","CBD06",56
"111","BT04","CBD07",20
"112","BT04","CBD13",128
"113","BT04","CD01",1
"114","BT04","CH01",7
"115","BT04","CH02",9
"116","BT04","CH03",5
"117","BT04","CH05",1
"118","BT04","CH07",19
"119","BT04","CH08",8
"120","BT04","CH09",4
"121","BT04","CH12",10
"122","BT04","DPD01",404
"123","BT04","EL01",21
"124","BT04","EL03",38
"125","BT04","EL05",12
"126","BT04","FH01",2
"127","BT04","ID04",14
"128","BT04","PS04",43
"129","BT04","PS05",81
"130","BT04","SLU01",69
"131","BT04","SLU02",148
"132","BT04","SLU04",139
"133","BT04","SLU07",50
"134","BT04","SLU15",55
"135","BT04","SLU16",35
"136","BT04","SLU17",60
"137","BT04","SLU18",39
"138","BT04","SLU19",61
"139","BT04","SLU20",70
"140","BT04","SLU21",1
"141","BT04","UD01",3
"142","BT04","UD04",10
"143","BT04","UD07",1
"144","BT04","UW04",3
"145","BT04","UW07",1
"146","BT04","WF01",56
"147","BT04","WF04",24
"148","BT05","BT01",242
"149","BT05","BT03",106
"150","BT05","BT04",58
"151","BT05","BT05",163
"152","BT05","CBD03",128
"153","BT05","CBD04",26
"154","BT05","CBD05",125
"155","BT05","CBD06",131
"156","BT05","CBD07",39
"157","BT05","CBD13",154
"158","BT05","CH01",173
"159","BT05","CH02",30
"160","BT05","CH03",19
"161","BT05","CH05",6
"162","BT05","CH06",4
"163","BT05","CH07",22
"164","BT05","CH08",27
"165","BT05","CH09",27
"166","BT05","CH12",34
"167","BT05","CH15",4
"168","BT05","DPD01",33
"169","BT05","DPD03",1
"170","BT05","EL01",27
"171","BT05","EL03",168
"172","BT05","EL05",7
"173","BT05","FH01",8
"174","BT05","FH04",9
"175","BT05","ID04",49
"176","BT05","PS04",119
"177","BT05","PS05",91
"178","BT05","SLU01",90
"179","BT05","SLU02",82
"180","BT05","SLU04",132
"181","BT05","SLU07",192
"182","BT05","SLU15",141
"183","BT05","SLU16",65
"184","BT05","SLU17",55
"185","BT05","SLU18",37
"186","BT05","SLU19",276
"187","BT05","SLU20",69
"188","BT05","SLU21",5
"189","BT05","UD04",2
"190","BT05","UD07",3
"191","BT05","UW02",2
"192","BT05","UW04",4
"193","BT05","UW06",2
"194","BT05","UW10",1
"195","BT05","WF01",123
"196","BT05","WF04",57
"197","CBD03","BT01",166
"198","CBD03","BT03",119
"199","CBD03","BT04",44
"200","CBD03","BT05",97
"201","CBD03","CBD03",178
"202","CBD03","CBD04",9
"203","CBD03","CBD05",78
"204","CBD03","CBD06",62
"205","CBD03","CBD07",51
"206","CBD03","CBD13",114
"207","CBD03","CD01",10
"208","CBD03","CH01",56
"209","CBD03","CH02",39
"210","CBD03","CH03",62
"211","CBD03","CH05",28
"212","CBD03","CH06",6
"213","CBD03","CH07",29
"214","CBD03","CH08",65
"215","CBD03","CH09",66
"216","CBD03","CH12",50
"217","CBD03","CH15",19
"218","CBD03","DPD01",73
"219","CBD03","EL01",33
"220","CBD03","EL03",56
"221","CBD03","EL05",12
"222","CBD03","FH01",29
"223","CBD03","FH04",23
"224","CBD03","ID04",54
"225","CBD03","PS04",172
"226","CBD03","PS05",102
"227","CBD03","SLU01",174
"228","CBD03","SLU02",115
"229","CBD03","SLU04",95
"230","CBD03","SLU07",160
"231","CBD03","SLU15",59
"232","CBD03","SLU16",34
"233","CBD03","SLU17",43
"234","CBD03","SLU18",69
"235","CBD03","SLU19",98
"236","CBD03","SLU20",18
"237","CBD03","UD01",3
"238","CBD03","UD02",3
"239","CBD03","UD04",11
"240","CBD03","UD07",6
"241","CBD03","UW02",3
"242","CBD03","UW04",3
"243","CBD03","UW07",3
"244","CBD03","UW10",1
"245","CBD03","WF01",107
"246","CBD03","WF04",67
"247","CBD04","BT01",47
"248","CBD04","BT03",21
"249","CBD04","BT04",13
"250","CBD04","BT05",22
"251","CBD04","CBD03",10
"252","CBD04","CBD04",34
"253","CBD04","CBD05",9
"254","CBD04","CBD06",7
"255","CBD04","CBD07",11
"256","CBD04","CBD13",20
"257","CBD04","CD01",4
"258","CBD04","CH01",4
"259","CBD04","CH03",11
"260","CBD04","CH06",1
"261","CBD04","CH07",1
"262","CBD04","CH08",3
"263","CBD04","CH09",7
"264","CBD04","CH12",14
"265","CBD04","CH15",2
"266","CBD04","DPD01",2
"267","CBD04","EL01",1
"268","CBD04","EL03",11
"269","CBD04","EL05",2
"270","CBD04","FH01",1
"271","CBD04","FH04",2
"272","CBD04","ID04",17
"273","CBD04","PS04",72
"274","CBD04","PS05",54
"275","CBD04","SLU01",21
"276","CBD04","SLU02",11
"277","CBD04","SLU04",6
"278","CBD04","SLU07",65
"279","CBD04","SLU15",15
"280","CBD04","SLU16",21
"281","CBD04","SLU17",7
"282","CBD04","SLU18",11
"283","CBD04","SLU19",52
"284","CBD04","SLU20",12
"285","CBD04","UD02",4
"286","CBD04","WF01",33
"287","CBD04","WF04",29
"288","CBD05","BT01",117
"289","CBD05","BT03",118
"290","CBD05","BT04",171
"291","CBD05","BT05",154
"292","CBD05","CBD03",76
"293","CBD05","CBD04",13
"294","CBD05","CBD05",215
"295","CBD05","CBD06",45
"296","CBD05","CBD07",19
"297","CBD05","CBD13",242
"298","CBD05","CD01",2
"299","CBD05","CH01",50
"300","CBD05","CH02",13
"301","CBD05","CH03",1
"302","CBD05","CH05",8
"303","CBD05","CH06",7
"304","CBD05","CH07",5
"305","CBD05","CH08",10
"306","CBD05","CH09",13
"307","CBD05","CH12",18
"308","CBD05","CH15",3
"309","CBD05","DPD01",12
"310","CBD05","EL01",11
"311","CBD05","EL03",9
"312","CBD05","EL05",3
"313","CBD05","FH01",11
"314","CBD05","FH04",3
"315","CBD05","ID04",86
"316","CBD05","PS04",176
"317","CBD05","PS05",180
"318","CBD05","SLU01",25
"319","CBD05","SLU02",14
"320","CBD05","SLU04",36
"321","CBD05","SLU07",26
