"","freq","from","to"
"1",370,"BT01","BT01"
"2",134,"BT01","BT03"
"3",56,"BT01","BT04"
"4",250,"BT01","BT05"
"5",137,"BT01","CBD03"
"6",31,"BT01","CBD04"
"7",151,"BT01","CBD05"
"8",442,"BT01","CBD06"
"9",67,"BT01","CBD07"
"10",565,"BT01","CBD13"
"11",3,"BT01","CD01"
"12",59,"BT01","CH01"
"13",15,"BT01","CH02"
"14",16,"BT01","CH03"
"15",15,"BT01","CH05"
"16",5,"BT01","CH06"
"17",12,"BT01","CH07"
"18",22,"BT01","CH08"
"19",28,"BT01","CH09"
"20",37,"BT01","CH12"
"21",4,"BT01","CH15"
"22",137,"BT01","DPD01"
"23",220,"BT01","EL01"
"24",48,"BT01","EL03"
"25",23,"BT01","EL05"
"26",14,"BT01","FH01"
"27",2,"BT01","FH04"
"28",82,"BT01","ID04"
"29",137,"BT01","PS04"
"30",219,"BT01","PS05"
"31",257,"BT01","SLU01"
"32",121,"BT01","SLU02"
"33",125,"BT01","SLU04"
"34",260,"BT01","SLU07"
"35",270,"BT01","SLU15"
"36",111,"BT01","SLU16"
"37",115,"BT01","SLU17"
"38",102,"BT01","SLU18"
"39",131,"BT01","SLU19"
"40",40,"BT01","SLU20"
"41",4,"BT01","SLU21"
"42",8,"BT01","UD01"
"43",6,"BT01","UD02"
"44",16,"BT01","UD04"
"45",5,"BT01","UD07"
"46",3,"BT01","UW01"
"47",1,"BT01","UW02"
"48",13,"BT01","UW04"
"49",2,"BT01","UW06"
"50",2,"BT01","UW07"
"51",4,"BT01","UW10"
"52",504,"BT01","WF01"
"53",484,"BT01","WF04"
"54",175,"BT03","BT01"
"55",169,"BT03","BT03"
"56",44,"BT03","BT04"
"57",135,"BT03","BT05"
"58",147,"BT03","CBD03"
"59",18,"BT03","CBD04"
"60",194,"BT03","CBD05"
"61",267,"BT03","CBD06"
"62",40,"BT03","CBD07"
"63",506,"BT03","CBD13"
"64",1,"BT03","CD01"
"65",10,"BT03","CH01"
"66",7,"BT03","CH02"
"67",4,"BT03","CH03"
"68",4,"BT03","CH05"
"69",3,"BT03","CH06"
"70",12,"BT03","CH07"
"71",9,"BT03","CH08"
"72",22,"BT03","CH09"
"73",34,"BT03","CH12"
"74",1,"BT03","CH15"
"75",263,"BT03","DPD01"
"76",4,"BT03","DPD03"
"77",15,"BT03","EL01"
"78",29,"BT03","EL03"
"79",19,"BT03","EL05"
"80",7,"BT03","FH01"
"81",7,"BT03","FH04"
"82",35,"BT03","ID04"
"83",182,"BT03","PS04"
"84",110,"BT03","PS05"
"85",75,"BT03","SLU01"
"86",42,"BT03","SLU02"
"87",423,"BT03","SLU04"
"88",137,"BT03","SLU07"
"89",305,"BT03","SLU15"
"90",77,"BT03","SLU16"
"91",60,"BT03","SLU17"
"92",37,"BT03","SLU18"
"93",226,"BT03","SLU19"
"94",20,"BT03","SLU20"
"95",45,"BT03","UD01"
"96",2,"BT03","UD02"
"97",8,"BT03","UD04"
"98",2,"BT03","UD07"
"99",11,"BT03","UW04"
"100",1,"BT03","UW07"
"101",160,"BT03","WF01"
"102",95,"BT03","WF04"
"103",95,"BT04","BT01"
"104",67,"BT04","BT03"
"105",89,"BT04","BT04"
"106",47,"BT04","BT05"
"107",49,"BT04","CBD03"
"108",10,"BT04","CBD04"
"109",156,"BT04","CBD05"
"110",56,"BT04","CBD06"
"111",20,"BT04","CBD07"
"112",128,"BT04","CBD13"
"113",1,"BT04","CD01"
"114",7,"BT04","CH01"
"115",9,"BT04","CH02"
"116",5,"BT04","CH03"
"117",1,"BT04","CH05"
"118",19,"BT04","CH07"
"119",8,"BT04","CH08"
"120",4,"BT04","CH09"
"121",10,"BT04","CH12"
"122",404,"BT04","DPD01"
"123",21,"BT04","EL01"
"124",38,"BT04","EL03"
"125",12,"BT04","EL05"
"126",2,"BT04","FH01"
"127",14,"BT04","ID04"
"128",43,"BT04","PS04"
"129",81,"BT04","PS05"
"130",69,"BT04","SLU01"
"131",148,"BT04","SLU02"
"132",139,"BT04","SLU04"
"133",50,"BT04","SLU07"
"134",55,"BT04","SLU15"
"135",35,"BT04","SLU16"
"136",60,"BT04","SLU17"
"137",39,"BT04","SLU18"
"138",61,"BT04","SLU19"
"139",70,"BT04","SLU20"
