"date","temper","precip","annual","shortt"
2014-10-13,62,0,284,125
2014-10-14,59,0.11,268,223
2014-10-15,58,0.45,212,101
2014-10-16,61,0,268,127
2014-10-17,60,0.14,195,99
2014-10-18,64,0.31,178,221
2014-10-19,64,0,239,427
2014-10-20,60,0.44,264,125
2014-10-21,58,0.1,252,105
2014-10-22,58,1.43,114,27
2014-10-23,55,0.35,273,65
2014-10-24,56,0.13,274,156
2014-10-25,58,0.37,124,92
2014-10-26,52,0.05,119,133
2014-10-27,54,0.01,277,90
2014-10-28,56,0.34,188,47
2014-10-29,59,0.04,334,106
2014-10-30,58,0.67,203,24
2014-10-31,54,0.77,181,45
2014-11-01,52,0,161,277
2014-11-02,51,0.11,181,150
2014-11-03,58,0.24,212,25
2014-11-04,58,0.05,330,55
2014-11-05,57,0.27,244,52
2014-11-06,60,0.22,187,69
2014-11-07,52,0,252,93
2014-11-08,48,0,207,322
2014-11-09,52,0.29,115,122
2014-11-10,48,0,254,138
2014-11-11,42,0,198,72
2014-11-12,39,0,248,48
2014-11-13,40,0,247,71
2014-11-14,38,0,204,63
2014-11-15,38,0,109,136
2014-11-16,39,0,87,102
2014-11-17,41,0,215,64
2014-11-18,39,0,253,40
2014-11-19,44,0,256,85
2014-11-20,49,0.11,206,28
2014-11-21,52,0.67,124,35
2014-11-22,48,0.03,103,137
2014-11-23,50,0.42,115,92
2014-11-24,47,0.01,184,33
2014-11-25,56,0.33,154,20
2014-11-26,59,0.01,208,82
2014-11-27,58,0.04,44,78
2014-11-28,48,1.39,40,22
2014-11-29,35,0.06,36,27
2014-11-30,33,0,80,31
2014-12-01,34,0,166,39
2014-12-02,35,0,185,36
2014-12-03,40,0,229,23
2014-12-04,44,0.05,189,38
2014-12-05,50,0.09,190,19
2014-12-06,52,0.25,107,42
2014-12-07,49,0,108,66
2014-12-08,55,0.45,182,23
2014-12-09,57,0.42,188,48
2014-12-10,61,0.5,154,17
2014-12-11,55,0.33,175,10
2014-12-12,52,0,207,42
2014-12-13,46,0.01,103,105
2014-12-14,47,0,69,115
2014-12-15,48,0,194,44
2014-12-16,48,0,204,42
2014-12-17,48,0.16,175,16
2014-12-18,48,0.6,158,7
2014-12-19,50,0.13,259,41
2014-12-20,52,0.6,54,24
2014-12-21,55,0,85,56
2014-12-22,48,0,175,84
2014-12-23,48,0.61,109,18
2014-12-24,44,0.12,107,22
2014-12-25,42,0,27,122
2014-12-26,42,0,87,108
2014-12-27,47,0.12,57,62
2014-12-28,44,0.06,73,60
