"","usertype","timestamp","freq"
"1","Annual Member",1413244800,284
"2","Annual Member",1413331200,268
"3","Annual Member",1413417600,212
"4","Annual Member",1413504000,268
"5","Annual Member",1413590400,195
"6","Annual Member",1413676800,178
"7","Annual Member",1413763200,239
"8","Annual Member",1413849600,264
"9","Annual Member",1413936000,252
"10","Annual Member",1414022400,114
"11","Annual Member",1414108800,273
"12","Annual Member",1414195200,274
"13","Annual Member",1414281600,124
"14","Annual Member",1414368000,119
"15","Annual Member",1414454400,277
"16","Annual Member",1414540800,188
"17","Annual Member",1414627200,334
"18","Annual Member",1414713600,203
"19","Annual Member",1414800000,181
"20","Annual Member",1414886400,161
"21","Annual Member",1414972800,181
"22","Annual Member",1415059200,212
"23","Annual Member",1415145600,330
"24","Annual Member",1415232000,244
"25","Annual Member",1415318400,187
"26","Annual Member",1415404800,252
"27","Annual Member",1415491200,207
"28","Annual Member",1415577600,115
"29","Annual Member",1415664000,254
"30","Annual Member",1415750400,198
"31","Annual Member",1415836800,248
"32","Annual Member",1415923200,247
"33","Annual Member",1416009600,204
"34","Annual Member",1416096000,109
"35","Annual Member",1416182400,87
"36","Annual Member",1416268800,215
"37","Annual Member",1416355200,253
"38","Annual Member",1416441600,256
"39","Annual Member",1416528000,206
"40","Annual Member",1416614400,124
"41","Annual Member",1416700800,103
"42","Annual Member",1416787200,115
"43","Annual Member",1416873600,184
"44","Annual Member",1416960000,154
"45","Annual Member",1417046400,208
"46","Annual Member",1417132800,44
"47","Annual Member",1417219200,40
"48","Annual Member",1417305600,36
"49","Annual Member",1417392000,80
"50","Annual Member",1417478400,166
"51","Annual Member",1417564800,185
"52","Annual Member",1417651200,229
"53","Annual Member",1417737600,189
"54","Annual Member",1417824000,190
"55","Annual Member",1417910400,107
"56","Annual Member",1417996800,108
"57","Annual Member",1418083200,182
"58","Annual Member",1418169600,188
"59","Annual Member",1418256000,154
"60","Annual Member",1418342400,175
"61","Annual Member",1418428800,207
"62","Annual Member",1418515200,103
"63","Annual Member",1418601600,69
"64","Annual Member",1418688000,194
"65","Annual Member",1418774400,204
"66","Annual Member",1418860800,175
"67","Annual Member",1418947200,158
"68","Annual Member",1419033600,259
"69","Annual Member",1419120000,54
"70","Annual Member",1419206400,85
"71","Annual Member",1419292800,175
"72","Annual Member",1419379200,109
"73","Annual Member",1419465600,107
"74","Annual Member",1419552000,27
"75","Annual Member",1419638400,87
"76","Annual Member",1419724800,57
"77","Annual Member",1419811200,73
"78","Annual Member",1419897600,135
"79","Annual Member",1419984000,136
"80","Annual Member",1420070400,91
"81","Annual Member",1420156800,54
"82","Annual Member",1420243200,116
"83","Annual Member",1420329600,75
"84","Annual Member",1420416000,43
"85","Annual Member",1420502400,162
"86","Annual Member",1420588800,235
"87","Annual Member",1420675200,264
"88","Annual Member",1420761600,261
"89","Annual Member",1420848000,241
"90","Annual Member",1420934400,93
"91","Annual Member",1421020800,71
"92","Annual Member",1421107200,252
"93","Annual Member",1421193600,260
"94","Annual Member",1421280000,247
"95","Annual Member",1421366400,189
"96","Annual Member",1421452800,243
"97","Annual Member",1421539200,71
"98","Annual Member",1421625600,62
"99","Annual Member",1421712000,177
"100","Annual Member",1421798400,298
"101","Annual Member",1421884800,265
"102","Annual Member",1421971200,254
"103","Annual Member",1422057600,193
"104","Annual Member",1422144000,130
"105","Annual Member",1422230400,123
"106","Annual Member",1422316800,237
"107","Annual Member",1422403200,225
"108","Annual Member",1422489600,292
"109","Annual Member",1422576000,291
"110","Annual Member",1422662400,264
"111","Annual Member",1422748800,126
"112","Annual Member",1422835200,63
"113","Annual Member",1422921600,168
"114","Annual Member",1423008000,221
"115","Annual Member",1423094400,186
"116","Annual Member",1423180800,156
"117","Annual Member",1423267200,158
"118","Annual Member",1423353600,80
"119","Annual Member",1423440000,84
"120","Annual Member",1423526400,219
"121","Annual Member",1423612800,264
"122","Annual Member",1423699200,283
"123","Annual Member",1423785600,281
"124","Annual Member",1423872000,285
"125","Annual Member",1423958400,131
"126","Annual Member",1424044800,97
"127","Annual Member",1424131200,143
"128","Annual Member",1424217600,267
"129","Annual Member",1424304000,255
"130","Annual Member",1424390400,212
"131","Annual Member",1424476800,205
"132","Annual Member",1424563200,134
"133","Annual Member",1424649600,94
"134","Annual Member",1424736000,207
"135","Annual Member",1424822400,221
"136","Annual Member",1424908800,183
"137","Annual Member",1424995200,243
"138","Annual Member",1425081600,188
"139","Annual Member",1425168000,105
"140","Annual Member",1425254400,92
"141","Annual Member",1425340800,244
"142","Annual Member",1425427200,260
"143","Annual Member",1425513600,267
"144","Annual Member",1425600000,245
"145","Annual Member",1425686400,270
"146","Annual Member",1425772800,169
"147","Annual Member",1425859200,131
"148","Annual Member",1425945600,240
"149","Annual Member",1426032000,300
"150","Annual Member",1426118400,226
"151","Annual Member",1426204800,309
"152","Annual Member",1426291200,255
"153","Annual Member",1426377600,123
"154","Annual Member",1426464000,26
"155","Annual Member",1426550400,216
"156","Annual Member",1426636800,243
"157","Annual Member",1426723200,283
"158","Annual Member",1426809600,260
"159","Annual Member",1426896000,209
"160","Annual Member",1426982400,123
"161","Annual Member",1427068800,94
"162","Annual Member",1427155200,197
"163","Annual Member",1427241600,230
"164","Annual Member",1427328000,223
"165","Annual Member",1427414400,303
"166","Annual Member",1427500800,288
"167","Annual Member",1427587200,132
"168","Annual Member",1427673600,120
"169","Annual Member",1427760000,288
"170","Annual Member",1427846400,218
"171","Annual Member",1427932800,275
"172","Annual Member",1428019200,255
"173","Annual Member",1428105600,258
"174","Annual Member",1428192000,130
"175","Annual Member",1428278400,110
"176","Annual Member",1428364800,269
"177","Annual Member",1428451200,320
"178","Annual Member",1428537600,305
"179","Annual Member",1428624000,303
"180","Annual Member",1428710400,239
"181","Annual Member",1428796800,97
"182","Annual Member",1428883200,104
"183","Annual Member",1428969600,186
"184","Annual Member",1429056000,295
"185","Annual Member",1429142400,311
"186","Annual Member",1429228800,352
"187","Annual Member",1429315200,324
"188","Annual Member",1429401600,195
"189","Annual Member",1429488000,132
"190","Annual Member",1429574400,358
"191","Annual Member",1429660800,322
"192","Annual Member",1429747200,360
"193","Annual Member",1429833600,269
"194","Annual Member",1429920000,282
"195","Annual Member",1430006400,133
"196","Annual Member",1430092800,142
"197","Annual Member",1430179200,330
"198","Annual Member",1430265600,255
"199","Annual Member",1430352000,288
"200","Annual Member",1430438400,338
"201","Annual Member",1430524800,314
"202","Annual Member",1430611200,160
"203","Annual Member",1430697600,159
"204","Annual Member",1430784000,320
"205","Annual Member",1430870400,267
"206","Annual Member",1430956800,341
"207","Annual Member",1431043200,403
"208","Annual Member",1431129600,419
"209","Annual Member",1431216000,218
"210","Annual Member",1431302400,153
"211","Annual Member",1431388800,340
"212","Annual Member",1431475200,358
"213","Annual Member",1431561600,272
"214","Annual Member",1431648000,353
"215","Annual Member",1431734400,358
"216","Annual Member",1431820800,133
"217","Annual Member",1431907200,141
"218","Annual Member",1431993600,340
"219","Annual Member",1432080000,345
"220","Annual Member",1432166400,377
"221","Annual Member",1432252800,391
"222","Annual Member",1432339200,272
"223","Annual Member",1432425600,153
"224","Annual Member",1432512000,120
"225","Annual Member",1432598400,126
"226","Annual Member",1432684800,342
"227","Annual Member",1432771200,391
"228","Annual Member",1432857600,383
"229","Annual Member",1432944000,380
"230","Annual Member",1433030400,179
"231","Annual Member",1433116800,174
"232","Annual Member",1433203200,235
"233","Annual Member",1433289600,358
"234","Annual Member",1433376000,334
"235","Annual Member",1433462400,386
"236","Annual Member",1433548800,354
"237","Annual Member",1433635200,171
"238","Annual Member",1433721600,158
"239","Annual Member",1433808000,368
"240","Annual Member",1433894400,389
"241","Annual Member",1433980800,382
"242","Annual Member",1434067200,380
"243","Annual Member",1434153600,352
"244","Annual Member",1434240000,220
"245","Annual Member",1434326400,137
"246","Annual Member",1434412800,324
"247","Annual Member",1434499200,377
"248","Annual Member",1434585600,373
"249","Annual Member",1434672000,361
"250","Annual Member",1434758400,312
"251","Annual Member",1434844800,150
"252","Annual Member",1434931200,130
"253","Annual Member",1435017600,322
